Name,Business,Address,Contact,Website,FB
"Nakiea Cook, MBA",Accountant,,info@nakieacook.com,https://www.nakieacook.com/,https://www.facebook.com/nakiea.adger
Born Bread Chasers Clothing,Apparel ,,,,https://www.facebook.com/Bornbreadchasers.Clo/
Cointel,Apparel ,,,https://historydipped.com/collections,https://www.instagram.com/cointel/
Everyday Poetry Boutique,Apparel ,,(716) 429-5173,https://everydaypoetryboutique.com/,https://www.facebook.com/everydaypoetryboutique/
GUAGGI,Apparel ,,,https://www.guaggi.com/,https://www.facebook.com/guaggi/
LVSH,Apparel ,,,https://www.lvshclothing.com/,https://www.facebook.com/LvshClothing/
TrapNerd Creations,Apparel ,,,https://www.trapnerdcreations.com/,https://www.facebook.com/TrapNerdCreations/
Ashley Kay,Art,,,https://www.instagram.com/art_ashleykay/,
Brandie Chicole,Art,,,https://www.instagram.com/artbyb._/,
By Edreys,Art,,,https://edreys.com/,https://www.facebook.com/byEdreys/
The Jalen Law Collection,Art,,,http://thejalenlawcollection.com/,https://www.facebook.com/TheJalenLawCollection/
The Knotty Buffalo,Arts & Crafts Store,,(716) 949-6204,https://knottybuffalo.com/,https://www.facebook.com/knottybuffalo716/
"Crystal J. Rodriguez, Esq.",Attorney,,(716) 416-1888,https://crystalrodriguezesq.com/,https://www.facebook.com/crystalclearesq/
Main Hand Wash & Detail,Auto Shop,"1712 Main St, Buffalo, NY 14209",(716) 885-2195,https://main-handwash-detail.hub.biz/,https://www.facebook.com/pages/Main-Handwash-Detail/162175203807747
350 Sweets & Treats,Bakery,"Stockbridge Ave, Buffalo, NY 14215",(716) 715-4789,,https://www.facebook.com/350SweetsTreats/
Cake Crazy Bakery,Bakery,"2525 William St Cheektowaga, New York 14206",(716) 235-8002,http://www.cakecrazybakery.com/,https://www.facebook.com/cakecrazybakery/
"Ravelle Culinary Creations, LLC",Bakery,"37 Chandler Street, Buffalo, NY 14207",(716) 880-6545,http://www.ravelleculinarycreations.com/,https://www.facebook.com/ravelle.co/
Shorty's Sweet Spot,Bakery,,(716) 430-7969,,https://www.facebook.com/BuffalosCheesecakeGoddess/
Trice's Tasty Treats,Bakery,,(716) 288-2905,https://www.instagram.com/trices_tastytreats/,https://www.facebook.com/tricestastytreats/
Balloon Obsession,Balloons,,,https://balloonobsessionwny.com/,https://www.facebook.com/BalloonObsession/
Speak Easy,Bar/Restaurant,"1194 E Lovejoy St, Buffalo, NY 14206",(716) 783-7477,http://thespeakeasybuffalo.com/,https://www.facebook.com/SpeakEasyBuffalo
Cove & Mill Barbering Co,Barbershop,"50 Elk St. Suite 120, Buffalo, NY 14210",(716) 625-2683,https://coveandmillbarbering.com/,https://www.facebook.com/coveandmillbarbering/
The Standard,Barbershop,"76 Allen St, Buffalo, NY 14202",(716) 867-1214,,https://www.facebook.com/pages/The-Standard/2307820099547033
Beauty Wish Galore,Beauty,,,https://www.instagram.com/beautywishgalore/,
Double Dose Lashes,Beauty,,,https://bookforchanelle.as.me/schedule.php,https://www.instagram.com/doubledoselashes/
Haus of Kula,Beauty,"P.O. Box 1685 Buffalo, NY",,https://hausofkula.com/,https://www.facebook.com/hausofkula/
Lashed Buffalo,Beauty,"1695 Hertel Avenue, Buffalo, NY",(716) 909 8787,https://www.lashedbuffalo.com/,https://www.facebook.com/lashedbuffalobeauty/
Luxury Beauty Co,Beauty,"180 N. Bailey ave suite #2, Amherst, NY 14226",(716) 390-5552,,https://www.facebook.com/LuxuryBeautyCO/
O'DARA,Beauty,,,https://www.odaraisbeauty.com/,
Zandra Beauty,Beauty,"255 Great Arrow Ave, Ste 208  Buffalo, NY 14207",(855) 592-6372,https://zandrabeauty.com/,https://www.facebook.com/zandrabeauty/
Zawadi Books,Book Store,"1382 Jefferson Ave, Buffalo, NY 14208",(716) 903-6740,,https://www.facebook.com/pages/category/Independent-Bookstore/Zawadi-Books-466887943377904/
Black Monarchy,Boutique,"527 W Utica St, Buffalo, NY 14213",(347) 508-5267,https://www.blackmonarchy.com/,https://www.facebook.com/BlackMonarchy/
Eat Off Art,Boutique,,,https://www.eatoffart.com/,https://www.facebook.com/eatoffart/
Fee Designz,Boutique,,(803) 290-5491,https://fee-designz.myshopify.com/,https://www.facebook.com/feedesignz/
Global Villages,Boutique,"242 Grant St, Buffalo, NY 14213",(716) 887-3889,,https://www.facebook.com/Global-Villages-417253704995597/
Janie's Emporium,Boutique,"2943 Delaware Ave, Kenmore, NY 14217",(716) 573-6456,http://www.janiesemporium.com/home,https://www.facebook.com/JaniesEmporium/
MMW Style Studio,Boutique,"403 Main Street #108 Buffalo, New York 14203",(716) 812-0937,http://www.mmwstylestudio.com/,https://www.facebook.com/MMWStyleStudioLLC/
MS Eye Candy,Boutique,"85 Allen St. Buffalo, New York 14202",(716) 240-9961,,https://www.facebook.com/mseyecandybuffalo/
Scents & Sensuality by Shajuan,Boutique,"3281 Delaware Avenue, Buffalo, NY 14217",(716) 424-0024,https://scentsandsensualitybyshajuan.com/,https://www.facebook.com/Scents-Sensuality-By-Shajuan-612131012475577/
The Cellar Boutique,Boutique,"569 Elmwood Ave Buffalo, New York 14222",(716) 783-9161,https://www.thexcellar.us/,https://www.facebook.com/thexcellar/
ASA Janitorial Services,Cleaning Service,"790 Carl Street, Buffalo, NY 14215",(716) 313-3355,http://www.asajanitorialsvcs.com/,https://www.facebook.com/greenteam23/
Heavenly Hands Commercial Cleaning,Cleaning Service,,(716) 953-3207,hhdevelopment@mail.com,
Mobile Eco Steam - Mobile Auto Detailing & Carpet Cleaning,Cleaning Service,,(716) 393-5553,https://www.mobileecosteam.com/,https://www.facebook.com/mobileecosteam/
Im Livin B Apparel & Printing,Clothing & Printing,"2931 Delaware Ave, Kenmore, NY 14217",(716) 436-5169,http://www.imlivinb.com/,https://www.facebook.com/ImLivinB/
Golden Cup Coffee,Coffee Shop,"1323 Jefferson Ave, Buffalo, NY 14208",(716) 883-7770,https://goldencupcoffee.com/,https://www.facebook.com/goldencupcoffee/
African Heritage Food Co-Op ,Co-Op,"2616 Highland Ave Niagara Falls, NY 14305",(716) 573-1844,https://myahfc.com/,https://www.facebook.com/ahfcbuffalo/
Black Door,Creative Opportunities,,,https://www.opentheblackdoor.com/,https://www.facebook.com/BlkDoor/
By Your Side Credit,Credit Repair,,(716) 482-0643,http://www.byscredit.com/,https://www.facebook.com/Byscredit/
"Verve Dance Studio, Arts Education",Dance Studio,"429 Plymouth Ave, Buffalo, NY 14213",,http://vervedancestudio.com/,https://www.facebook.com/VerveDanceStudio/
Wood Dental,Dentistry,"564 Franklin St, Buffalo, NY 14202",(716) 882-0800,http://www.wooddental.com/,https://www.facebook.com/pages/Wood-Dental-Associates/174550643759
Calming Nature,Doula,"223 Grant St. Buffalo, NY 14213",(716) 909-0074,https://www.calmingnaturedoula.com/,
DJ Dre,DJ,,(716) 430-1033,https://www.djdremusic.com/,https://www.facebook.com/DjDreMusicandPhotoBooth/
You In Mind Events,Event Planning,,(716) 833-0924,https://www.youinmindevents.com/,https://www.facebook.com/YouInMindEvents/
Black Gem Space,Fitness,,,https://www.instagram.com/blackgemspace/,
GCOPE FIT,Fitness,"3565 Sheridan Drive, Amherst, NY 14226",(716) 218-8011,https://gcopefitness.com/,https://www.facebook.com/GCopeFitness/
GoPole Fitness,Fitness,"30 Essex Suite C, Buffalo, NY 14214",(716) 235-1348,https://www.gopolefit.com/,https://www.facebook.com/gopolefitness/
Macfitness Shed 2.0,Fitness,,(716) 218-8011,https://macfitnessshed20.com/,https://www.facebook.com/macfitness.facility
Miss Body Language Fitness,Fitness,,,https://linktr.ee/missbodylanguage,https://www.instagram.com/missbodylanguagefit/
Ousmane Camara,Financial Advisor,,,https://www.linkedin.com/in/ousmane-camara-002559167/,
Feed Buffalo,Food Pantry,"456 Massachusetts Ave Buffalo, NY 14213",(716) 588-0137,https://www.feedbuffalo.org/,https://www.facebook.com/feedbuffalo
Mad Sauces Food Truck,Food Truck,,(716) 218-8810,https://madsauces716.com/,https://www.facebook.com/Madsauces/
The Flaming Fish,Food Truck,,(716) 279-9725,http://www.theflamingfish.com/,https://www.facebook.com/FlamingFishTruck/
T. L. Pickens Funeral Home,Funeral Home,"66 E Utica Street, Buffalo, NY 14209",(716) 893-0084,https://www.tonylpickens.com/,
BJB Multimedia,Graphic Designer,,info@bjbmultimedia.com,https://www.bjbmultimedia.com/,https://www.facebook.com/bjbmultimedia
Glory Market,Grocery,"472 Elmwood Avenue Buffalo, NY 14222",(716) 710-8370,,https://www.facebook.com/glorymarketllc/
Caregiver Concierge Services,Healthcare Navigation,,(716) 348-4220,,https://www.facebook.com/CaregiverConciergeServices/
Chocolate Bar Hair,Hair Salon,"1132 Kensington ave, Buffalo, NY 14215",(716) 597-2959,https://www.chocolatebarhair.com/,https://www.facebook.com/chocolatebarhair/
Merchant Logo Head Quarters Design Studio,Hair Salon,"1016 Kensington Ave #5, Buffalo, NY 14215",(716) 832-0300,https://www.head25.com/,https://www.facebook.com/pages/Head-Quarters-Design-Studio/972651462756335
The Hair Hive,Hair Salon,"1413 Fillmore Avenue, Buffalo, NY 14211",(716) 427-8830,https://www.thhbuffalo.com/,https://www.facebook.com/The-Hair-Hive-107785880572717
The Loc Room,Hair Salon,"1012 Kensington Ave, Buffalo, NY 14215",(716) 246-4542,https://thelocroom.com/,https://www.facebook.com/thelocroom/
Brahma Body Butter,Holistic Skincare,,(716) 436-9793,https://www.etsy.com/shop/BrahmaBodyButter,https://www.facebook.com/BodyButter716/
Clinton Hawkins - Pillar To Post Home Inspectors,Home Inspector,"303 Meyer Rd, West Seneca, NY 14224",(716) 608-6829,https://clintonhawkins.pillartopost.com/,https://www.facebook.com/clintonhawkinsP2P/
Blues Home Repair,Home Repair,,(716) 427-6900,https://blueshomerepairsllc.com/,https://www.facebook.com/Blues-Home-Repair-LLC-183906935343705/
Elle James,Interior Design,,(202) 520-4436,https://www.ellejamesinteriors.com/,https://www.facebook.com/ElleJamesInteriors/
Honey Sweet Jam LLC,Jam,"PO Box 546, Kenmore, NY 14217",honeysweetjamllc@gmail.com,https://www.instagram.com/honeysweetjam/,
Franci Jewelry,Jewelry,,,https://www.francibynicoledavis.com/,https://www.facebook.com/Franci-Jewelry-293192271408927/
Do It 4 Us Landscaping,Landscaping,,(716) 936-0620,https://doit4uslandscaping.com/,https://www.facebook.com/Doit4uslandscaping/
LAST Call Laundry Services,Laundry,"990 Kenmore Ave Suite A, Buffalo, NY 14216",(716) 541-1106,http://lastcalllaundry.com/,https://www.facebook.com/lastcalllaundry/
Hertel Liquor Library,Liquor Store,"1673 Hertel Avenue, Buffalo, NY 14216",(716) 768-3669,http://www.hertelliquorlibrary.com/,https://www.facebook.com/hertelliquorlibrary/
International Wine & Spirits,Liquor Store,"2580 Main St, Buffalo, NY 14214",(716) 837-5607,http://www.buffaloliquorstore.com/,https://www.facebook.com/IWSBuffaloNY/posts/10157382245392838
L C & J Liquors,Liquor Store,"2034 Genesee St, Buffalo, NY 14211",(716) 897-5194,,https://www.facebook.com/LCJLiquors/
The Groove Lounge,Lounge,"1210 Broadway, Buffalo, NY 14212",(716) 939-3149,,
Enchanted Faces,Makeup Artist,,(716) 812-9477,https://www.youtube.com/user/Channy729,https://www.facebook.com/enchantedfaces17/
Makeup by Mani,Makeup Artist,,,https://linktr.ee/Makeupbymani24,https://www.instagram.com/makeupbymani24/
OakRight Experience,Marketing (Social Media),,(716) 908-5641,,
Alls Good Eats,Meal Prep,,,https://www.instagram.com/allsgoodeats/,
Core Cuisine Meal Solutions,Meal Prep,"37 Chandler Street, Buffalo, NY 14207",(716) 880-6545,http://www.ravelleculinarycreations.com/,https://www.facebook.com/corecuisine/
Munchie Manz,Meal Prep,,(716) 316-0726,https://www.munchiemanz.com/,https://www.facebook.com/MunchieManz/
WNY Merchant Consulting,Merchant Consulting,,(716) 817-0088,,https://www.facebook.com/rgwnymc/
Dazzling Beauty Nail Slon,Nail Salon,"2437 Delaware Ave Buffalo, New York 14216",(716) 322-6805,https://www.dazzlingbeautynails.com/,https://www.facebook.com/Dazzlingbeautybydom/
Envious Beauty Bar,Nail Salon,,,https://enviousbeautybar.as.me/schedule.php,https://www.instagram.com/queentns/
Top Coat Nail Lounge,Nail Salon,"416 West Ferry Street, Buffalo, NY 14213",(716) 262-0303,https://www.topcoatnl.com/,https://www.facebook.com/TopCoatNailLounge/
Pampered Paws n' Play,Pet Care,"1840 Maple Rd, Amherst, NY, 14221",(716) 281-0310,https://pamperedpawsnplay.com/,https://www.facebook.com/pamperedpawsnplay/
Alford's Angels,Pet Grooming,"1141 Kenmore Ave, Buffalo NY, 14217",(716) 249-2114,https://www.alfordsangels.com/,https://www.facebook.com/AlfordsAngelsDogGroomingAndBeauty/
Alana Adetola Arts,Photographer,,,https://www.alanadetolartsphotography.com/,https://www.facebook.com/alanadetolartsphotographyllc/
Addo Productions,Photophy/Videography,,(415) 374-9410,https://www.addoproductions.com/,https://www.facebook.com/addoproductions/
AWR Studios,Photophy/Videography,,(716) 666-1460,https://www.instagram.com/awrstudios/,https://www.facebook.com/AWRbooking/
What's Pop-In,Popcorn,"418 W Ferry St, Buffalo, NY 14213",,https://www.whatspoppingourmetpopcorn.com/,
Get Fokus'd Productions,Production Company,,(716) 427-4386,https://www.getfokusdproductions.com/,https://www.facebook.com/GetFokusdProductions/
"Latrice ""Lari"" Everett",Real Estate,,(585) 297-0536,https://leverett.mjpeterson.com/,
At Eleven Wings,Restaurant,"3225 Main St Buffalo, New York 14214",(716) 899-2011,,https://www.facebook.com/atelevenwingsandcuisines/
Brothers Takeout Cafe & Catering,Restaurant,"1281 Hertel Ave Buffalo, NY 14216",(716) 322-0084,https://716brothers.com/,https://www.facebook.com/716brothers/
Buffalo Soul,Restaurant,"454 Pearl St Buffalo, New York 14202",(716) 768-8549,https://buffalosoulny.com/,https://www.facebook.com/buffalosoulcatering/?hc_location=ufi
Caribbean Flava,Restaurant,"630 10th Street, Niagara Falls 14301",(716) 423-9995,,https://www.facebook.com/CaribbeanFlavaNY/
Caribbean Experience,Restaurant,"2897 Bailey Ave, Buffalo, NY 14215",(716) 838-5131,,
Em Tea Coffee,Restaurant,"80 Oakgrove Avenue Buffalo, New York",(716) 884-1444,http://www.emteacoffeecup.com/,https://www.facebook.com/Em-Tea-Coffeecup-Cafe-115576138467893/
Freddy J's BBQ,Restaurant,"195 Grant St, Buffalo, NY 14213",(716) 424-2926,,https://www.facebook.com/freddyjsongrant/
"G&B Fish, Shrimp and Chicken",Restaurant,"1532 Genesee Street Buffalo, NY 14211",(716) 331-3485,https://gandbfishshrimpandchicken.com/menu,
Ikes & BG's Restaurant,Restaurant,"1646 Genesee St, Buffalo, NY 14211",(716) 892-4301,https://ikeandbgsrestaurant.com/,https://www.facebook.com/pages/category/Barbecue-Restaurant/IKE-BGS-Restuarant-756226574565144/
